FECHA,TMAX,TMIN,NOMBRE
20/11/20, 26.3,  8.0,BOLIVAR AERO
20/11/20, 25.6, 17.0,BUENOS AIRES OBSERVATORIO
20/11/20, 25.9,  8.5,CAMPO DE MAYO AERO
20/11/20, 32.0, 20.6,CATAMARCA AERO
20/11/20, 30.1, 14.5,CERES AERO
20/11/20, 32.0, 19.0,CHAMICAL AERO
20/11/20, 21.9, 12.4,CHAPELCO AERO
20/11/20, 32.5, 19.5,CHEPES
20/11/20, 31.6, 16.0,CHILECITO AERO
20/11/20, 32.0, 15.6,CIPOLLETTI
20/11/20, 30.9, 12.9,COMODORO RIVADAVIA AERO
20/11/20, 28.9, 13.7,CONCORDIA AERO
20/11/20, 30.0, 10.4,CORDOBA AERO
20/11/20, 30.0, 16.8,CORDOBA OBSERVATORIO
20/11/20, 28.1, 10.6,CORONEL PRINGLES AERO
20/11/20, 26.0,  9.6,CORONEL SUAREZ AERO
20/11/20, 32.5, 16.0,CORRIENTES AERO
20/11/20, 24.2, 10.7,DOLORES AERO
20/11/20, 24.0, 12.2,EL BOLSON AERO
20/11/20, 25.1,  6.0,EL CALAFATE AERO
20/11/20, 25.8, 10.8,EL PALOMAR AERO
20/11/20, 29.7, 12.7,EL TREBOL
20/11/20, 29.0, 10.7,ESCUELA DE AVIACION MILITAR AERO
20/11/20, 23.6, 12.1,ESQUEL AERO
20/11/20, 26.8,  9.8,EZEIZA AERO
20/11/20, 33.0, 15.8,FORMOSA AERO
20/11/20, 29.0, 13.2,GENERAL PICO AERO
20/11/20, 29.0, 10.0,GOBERNADOR GREGORES AERO
20/11/20, 27.6, 12.6,GUALEGUAYCHU AERO
20/11/20, 31.3, 13.5,IGUAZU AERO
20/11/20, 33.6, 14.5,ITUZAINGO
20/11/20, 29.5, 13.6,JACHAL
20/11/20, 29.9, 15.8,JUJUY AERO
20/11/20, 26.5, 11.9,JUJUY U N
20/11/20, 27.0, 10.5,JUNIN AERO
20/11/20, 24.4, 10.0,LA PLATA AERO
20/11/20, 22.8,  1.2,LA QUIACA OBSERVATORIO
20/11/20, 33.0, 16.1,LA RIOJA AERO
20/11/20, 29.6, 10.4,LABOULAYE AERO
20/11/20, 25.5, 10.6,LAS FLORES
20/11/20, 34.0, 16.6,LAS LOMITAS
20/11/20, 22.2,  5.3,MALARGUE AERO
20/11/20, 29.5, 12.8,MAQUINCHAO
20/11/20, 21.7,  8.2,MAR DEL PLATA AERO
20/11/20, 29.2, 11.9,MARCOS JUAREZ AERO
20/11/20, 26.5, 10.5,MARIANO MORENO AERO
20/11/20, 28.5, 14.2,MENDOZA AERO
20/11/20,, 13.2,MENDOZA OBSERVATORIO
20/11/20,,,MERCEDES AERO (CTES)
20/11/20, 26.6, 11.5,MERLO AERO
20/11/20, 30.6, 15.8,METAN
20/11/20, 29.4, 15.5,MONTE CASEROS AERO
20/11/20, 25.5, 13.5,MORON AERO
20/11/20, 31.0, 16.4,NEUQUEN AERO
20/11/20, 27.9, 11.9,NUEVE DE JULIO
20/11/20, 31.5, 18.0,OBERA
20/11/20, 24.5,  7.8,OLAVARRIA AERO
20/11/20, 34.6, 19.8,ORAN AERO
20/11/20, 29.0, 13.5,PARANA AERO
20/11/20, 31.1, 14.7,PASO DE INDIOS
20/11/20, 29.6, 16.8,PASO DE LOS LIBRES AERO
20/11/20, 27.0, 12.4,PEHUAJO AERO
20/11/20, 26.7, 11.5,PERITO MORENO AERO
20/11/20, 26.6, 10.7,PIGUE AERO
20/11/20, 29.5, 13.3,PILAR OBSERVATORIO
20/11/20, 31.2, 18.2,POSADAS AERO
20/11/20, 33.2, 14.0,PRESIDENCIA ROQUE SAENZ PE�A AERO
20/11/20, 28.8,  9.6,PUERTO DESEADO AERO
20/11/20, 34.2, 18.6,PUERTO MADRYN AERO
20/11/20, 22.5, 16.0,PUNTA INDIO B.A.
20/11/20, 29.1, 13.5,RAFAELA AERO
20/11/20, 30.8, 16.2,RECONQUISTA AERO
20/11/20, 34.5, 14.4,RESISTENCIA AERO
20/11/20, 31.4, 17.2,RIO COLORADO
20/11/20, 28.0, 14.0,RIO CUARTO AERO
20/11/20, 26.5,  7.3,RIO GALLEGOS AERO
20/11/20, 19.0,  8.6,RIO GRANDE B.A.
20/11/20, 36.5, 17.0,RIVADAVIA
20/11/20, 29.9, 13.1,ROSARIO AERO
20/11/20, 27.8, 13.0,SALTA AERO
20/11/20, 35.2, 21.8,SAN ANTONIO OESTE AERO
20/11/20, 26.0,  9.0,SAN CARLOS (MZA)
20/11/20, 25.0, 14.4,SAN FERNANDO AERO
20/11/20, 33.0, 13.0,SAN JUAN AERO
20/11/20, 30.9, 11.4,SAN JULIAN AERO
20/11/20, 30.0, 15.9,SAN LUIS AERO
20/11/20, 30.4, 13.1,SAN MARTIN (MZA)
20/11/20, 29.3, 12.0,SAN RAFAEL AERO
20/11/20, 30.6,  9.4,SANTA CRUZ AERO
20/11/20, 30.6, 13.8,SANTA ROSA AERO
20/11/20, 30.2, 14.2,SANTA ROSA DE CONLARA AERO
20/11/20, 33.0, 16.5,SANTIAGO DEL ESTERO AERO
20/11/20, 29.4, 15.1,SAUCE VIEJO AERO
20/11/20, 32.0, 12.6,SUNCHALES AERO
20/11/20, 24.3,  5.4,TANDIL AERO
20/11/20, 32.5, 17.0,TARTAGAL AERO
20/11/20, 35.2, 19.5,TERMAS DE RIO HONDO AERO
20/11/20, 31.0, 14.5,TINOGASTA
20/11/20, 35.6, 19.4,TRELEW AERO
20/11/20, 28.5, 11.6,TRENQUE LAUQUEN
20/11/20, 28.1, 12.3,TRES ARROYOS
20/11/20, 32.9, 18.7,TUCUMAN AERO
20/11/20, 13.5,  6.5,USHUAIA AERO
20/11/20, 24.0,  5.5,USPALLATA
20/11/20, 28.6, 10.5,VENADO TUERTO AERO
20/11/20, 29.5, 15.0,VICTORICA
20/11/20, 34.5, 17.6,VIEDMA AERO
20/11/20, 30.2, 10.4,VILLA DE MARIA DEL RIO SECO
20/11/20, 31.5, 17.3,VILLA DOLORES AERO
20/11/20, 23.0, 10.0,VILLA GESELL AERO
20/11/20, 29.7, 14.4,VILLA REYNOLDS AERO
19/11/20, 23.2, 17.4,AEROPARQUE AERO
19/11/20, 25.0,  7.0,AZUL AERO
19/11/20, 30.3, 11.2,BAHIA BLANCA AERO
19/11/20, 29.3,  7.5,BARILOCHE AERO
19/11/20,, -6.0,BASE BELGRANO II
19/11/20,  1.1, -4.7,BASE CARLINI (EX JUBANY)
19/11/20,  1.7, -2.0,BASE ESPERANZA
19/11/20,  1.6, -3.4,BASE MARAMBIO
19/11/20,  2.6, -2.6,BASE ORCADAS
19/11/20, -0.4, -6.4,BASE SAN MARTIN
19/11/20, 26.0,  4.7,BENITO JUAREZ AERO
19/11/20, 25.2, 13.0,BERNARDO DE IRIGOYEN AERO
19/11/20, 26.1,  8.5,BOLIVAR AERO
19/11/20, 24.4, 14.8,BUENOS AIRES OBSERVATORIO
19/11/20, 24.0, 12.0,CAMPO DE MAYO AERO
19/11/20, 31.8, 16.2,CATAMARCA AERO
19/11/20, 30.0, 17.0,CERES AERO
19/11/20, 30.6, 13.9,CHAMICAL AERO
19/11/20, 30.2,  5.8,CHAPELCO AERO
19/11/20, 31.0, 14.0,CHEPES
19/11/20, 30.8, 13.4,CHILECITO AERO
19/11/20, 35.2, 14.9,CIPOLLETTI
19/11/20, 28.1, 11.6,COMODORO RIVADAVIA AERO
19/11/20, 28.0, 15.3,CONCORDIA AERO
19/11/20, 29.6, 13.0,CORDOBA AERO
19/11/20, 29.5, 15.0,CORDOBA OBSERVATORIO
19/11/20, 29.1,  7.5,CORONEL PRINGLES AERO
19/11/20, 26.9,  7.4,CORONEL SUAREZ AERO
19/11/20, 31.6, 15.0,CORRIENTES AERO
19/11/20, 22.4,  7.1,DOLORES AERO
19/11/20, 33.5,  8.1,EL BOLSON AERO
19/11/20, 24.1, 11.0,EL CALAFATE AERO
19/11/20, 25.4, 12.3,EL PALOMAR AERO
19/11/20, 28.6,,EL TREBOL
19/11/20, 28.5, 13.2,ESCUELA DE AVIACION MILITAR AERO
19/11/20, 30.2,  8.2,ESQUEL AERO
19/11/20, 25.2,  9.6,EZEIZA AERO
19/11/20, 31.3, 15.4,FORMOSA AERO
19/11/20, 31.2, 14.0,GENERAL PICO AERO
19/11/20, 31.0, 10.5,GOBERNADOR GREGORES AERO
19/11/20, 28.7, 15.6,GUALEGUAYCHU AERO
19/11/20, 30.4, 14.0,IGUAZU AERO
19/11/20, 32.0, 13.5,ITUZAINGO
19/11/20, 28.0, 11.0,JACHAL
19/11/20, 29.9, 14.1,JUJUY AERO
19/11/20, 24.7, 10.7,JUJUY U N
19/11/20, 25.6, 13.0,JUNIN AERO
19/11/20, 23.5,  9.0,LA PLATA AERO
19/11/20, 20.6,  2.0,LA QUIACA OBSERVATORIO
19/11/20, 31.4, 14.1,LA RIOJA AERO
19/11/20, 28.5, 12.2,LABOULAYE AERO
19/11/20, 24.0,  8.5,LAS FLORES
19/11/20, 32.1, 16.5,LAS LOMITAS
19/11/20, 25.0, 11.1,MALARGUE AERO
19/11/20, 29.7, 10.6,MAQUINCHAO
19/11/20, 18.1,  8.2,MAR DEL PLATA AERO
19/11/20, 29.5, 13.3,MARCOS JUAREZ AERO
19/11/20, 25.6, 11.7,MARIANO MORENO AERO
19/11/20, 27.4, 16.2,MENDOZA AERO
